pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT4G00960-AT4G00970,5-6,6-7,+IR,0,11,0,8,0,25,34,131,44,179,37,243,IR,AT4G00960,AT4G00970,AT4G00960-AT4G009705-6+IR,44,0,553,115,one,0.207956600361664
AT3G03330-AT3G03350,6-7,6-7,+IR,0,140,0,195,0,273,6,32,5,32,13,54,IR,AT3G03330,AT3G03350,AT3G03330-AT3G033506-7+IR,608,0,118,24,one,0.203389830508475
AT4G10150-AT4G10160,2-3,2-3,+IR,18,55,7,42,11,81,0,2,0,2,0,4,IR,AT4G10150,AT4G10160,AT4G10150-AT4G101602-3+IR,178,36,8,0,one,0.202247191011236
AT1G29730-AT1G29740,20-21,21-22,+IR,1,17,2,4,4,14,0,4,0,0,0,1,IR,AT1G29730,AT1G29740,AT1G29730-AT1G2974020-21+IR,35,7,5,0,one,0.2
AT1G30410-AT1G30420,3-4,1-2,+IR,14,58,10,37,8,67,0,15,0,12,0,17,IR,AT1G30410,AT1G30420,AT1G30410-AT1G304203-4+IR,162,32,44,0,one,0.197530864197531
AT3G28070-AT3G28080,1-2,1-2,+IR,79,207,8,175,66,394,0,276,0,233,0,379,IR,AT3G28070,AT3G28080,AT3G28070-AT3G280801-2+IR,776,153,888,0,one,0.197164948453608
AT1G74280-AT1G74290,1-2,1-2,+IR,8,24,6,25,4,43,0,21,0,14,0,37,IR,AT1G74280,AT1G74290,AT1G74280-AT1G742901-2+IR,92,18,72,0,one,0.195652173913043
AT3G62740-AT3G62750,12-13,12-13,+IR,0,1,0,5,0,4,216,848,144,805,277,1612,IR,AT3G62740,AT3G62750,AT3G62740-AT3G6275012-13+IR,10,0,3265,637,one,0.19509954058193
AT5G46130-AT5G46140,1-2,1-2,+IR,0,0,0,1,0,4,2,8,2,6,1,13,IR,AT5G46130,AT5G46140,AT5G46130-AT5G461401-2+IR,5,0,27,5,one,0.185185185185185
AT1G29730-AT1G29740,23-24,24-25,+IR,4,6,1,13,4,30,0,0,0,5,0,5,IR,AT1G29730,AT1G29740,AT1G29730-AT1G2974023-24+IR,49,9,10,0,one,0.183673469387755
AT2G15400-AT2G15430,2-3,2-3,+IR,0,2,0,8,0,6,22,114,11,87,31,156,IR,AT2G15400,AT2G15430,AT2G15400-AT2G154302-3+IR,16,0,357,64,one,0.179271708683473
AT2G26740-AT2G26750,1-2,1-2,+IR,64,472,90,530,140,683,0,4,0,6,0,12,IR,AT2G26740,AT2G26750,AT2G26740-AT2G267501-2+IR,1685,294,22,0,one,0.174480712166172
AT5G41360-AT5G41370,6-7,6-7,+ALTD;+ALTA,0,73,0,59,0,107,36,206,31,164,34,225,ALTP,AT5G41360,AT5G41370,AT5G41360-AT5G413706-7+ALTD;+ALTA,239,0,595,101,one,0.169747899159664
AT2G04066-AT2G04080,2-3,5-6,+IR,0,3,0,3,0,4,8,121,30,113,33,187,IR,AT2G04066,AT2G04080,AT2G04066-AT2G040802-3+IR,10,0,421,71,one,0.168646080760095
AT1G24265-AT1G24267,6-7,4-5,+IR,4,39,4,19,7,33,0,218,0,163,0,344,IR,AT1G24265,AT1G24267,AT1G24265-AT1G242676-7+IR,91,15,725,0,one,0.164835164835165
AT4G23270-AT4G23280,2-3,2-3,+IR,23,162,31,231,58,294,0,0,0,1,0,1,IR,AT4G23270,AT4G23280,AT4G23270-AT4G232802-3+IR,687,112,2,0,one,0.163027656477438
AT4G30910-AT4G30920,6-7,6-7,+ALTA,20,85,10,83,20,140,0,776,0,751,0,1428,ALTA,AT4G30910,AT4G30920,AT4G30910-AT4G309206-7+ALTA,308,50,2955,0,one,0.162337662337662
AT4G00960-AT4G00970,4-5,5-6,+IR,0,3,0,5,0,14,32,126,18,124,23,200,IR,AT4G00960,AT4G00970,AT4G00960-AT4G009704-5+IR,22,0,450,73,one,0.162222222222222
AT5G04680-AT5G04700,1-2,1-2,+IR,4,21,1,18,6,30,0,1,0,5,0,7,IR,AT5G04680,AT5G04700,AT5G04680-AT5G047001-2+IR,69,11,13,0,one,0.159420289855072
AT1G30410-AT1G30420,18-19,16-17,+ALTA,4,33,11,31,5,62,0,9,0,14,0,31,ALTA,AT1G30410,AT1G30420,AT1G30410-AT1G3042018-19+ALTA,126,20,54,0,one,0.158730158730159
AT4G30910-AT4G30920,6-7,6-7,+IR,10,95,19,74,20,140,0,776,0,751,0,1428,IR,AT4G30910,AT4G30920,AT4G30910-AT4G309206-7+IR,309,49,2955,0,one,0.158576051779935
AT1G27360-AT1G27370,3-4,3-4,+IR,0,69,0,39,0,97,8,29,2,36,9,55,IR,AT1G27360,AT1G27370,AT1G27360-AT1G273703-4+IR,205,0,120,19,one,0.158333333333333
AT3G59320-AT3G59330,5-6,4-5,+ALTD,9,48,4,30,8,57,0,47,0,44,0,88,ALTD,AT3G59320,AT3G59330,AT3G59320-AT3G593305-6+ALTD,135,21,179,0,one,0.155555555555556
AT4G14713-AT4G14720,7-8,7-8,+IR,6,52,5,14,4,31,0,43,0,57,0,112,IR,AT4G14713,AT4G14720,AT4G14713-AT4G147207-8+IR,97,15,212,0,one,0.154639175257732
AT1G76520-AT1G76530,8-9,8-9,+IR,53,365,44,337,92,552,0,11,0,5,0,33,IR,AT1G76520,AT1G76530,AT1G76520-AT1G765308-9+IR,1254,189,49,0,one,0.150717703349282
AT5G18630-AT5G18640,3-4,3-4,+IR,56,379,61,429,103,658,0,144,0,219,0,256,IR,AT5G18630,AT5G18640,AT5G18630-AT5G186403-4+IR,1466,220,619,0,one,0.150068212824011
