pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT3G23790-AT4G14070,11-12,11-12,+IR,0,17,0,33,0,37,3,428,6,400,4,610,IR,AT3G23790,AT4G14070,AT3G23790-AT4G1407011-12+IR,87,0,1438,13,one,0.0090403337969402
AT2G21270-AT4G38930,6-7,6-7,+IR,0,379,0,382,0,639,3,206,1,187,3,385,IR,AT2G21270,AT4G38930,AT2G21270-AT4G389306-7+IR,1400,0,778,7,one,0.0089974293059126
AT1G07510-AT2G29080,7-8,7-8,-ALTA,0,211,0,173,0,338,3,560,4,413,9,806,ALTA,AT1G07510,AT2G29080,AT1G07510-AT2G290807-8-ALTA,722,0,1779,16,one,0.0089938167509837
AT1G30910-AT5G44720,2-3,2-3,+IR,0,251,0,242,0,426,4,818,6,722,16,1364,IR,AT1G30910,AT5G44720,AT1G30910-AT5G447202-3+IR,919,0,2904,26,one,0.00895316804407714
AT5G10030-AT5G65210,2-3,1-2,-ALTA,1,162,1,99,2,188,0,68,0,54,0,104,ALTA,AT5G10030,AT5G65210,AT5G10030-AT5G652102-3-ALTA,449,4,226,0,one,0.0089086859688196
AT2G44100-AT3G59920,10-11,9-10,+IR,0,659,0,695,0,1042,6,776,1,729,18,1308,IR,AT2G44100,AT3G59920,AT2G44100-AT3G5992010-11+IR,2396,0,2813,25,one,0.00888730892285816
AT3G02200-AT5G15610,2-3,2-3,+IR,0,495,0,384,0,919,9,401,1,272,2,678,IR,AT3G02200,AT5G15610,AT3G02200-AT5G156102-3+IR,1798,0,1351,12,one,0.00888230940044412
AT2G47250-AT3G62310,5-6,5-6,+IR,3,385,2,296,7,674,0,282,0,191,0,417,IR,AT2G47250,AT3G62310,AT2G47250-AT3G623105-6+IR,1355,12,890,0,one,0.00885608856088561
AT1G15730-AT1G80480,1-2,1-2,+IR,2,488,6,438,8,881,0,468,0,490,0,948,IR,AT1G15730,AT1G80480,AT1G15730-AT1G804801-2+IR,1807,16,1906,0,one,0.00885445489762036
AT2G19120-AT4G30100,4-5,3-4,-ALTA,0,12,0,7,0,28,2,238,4,290,3,489,ALTA,AT2G19120,AT4G30100,AT2G19120-AT4G301004-5-ALTA,47,0,1017,9,one,0.00884955752212389
