pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT3G05160-AT3G05165,5-6,6-7,+IR,2,256,3,284,3,478,3,452,3,376,2,677,IR,AT3G05160,AT3G05165,AT3G05160-AT3G051655-6+IR,1018,8,1505,8,both,0.00254293155101854
AT2G05230-AT2G05250,1-2,1-2,+IR,10,103,2,85,12,183,10,112,2,81,12,193,IR,AT2G05230,AT2G05250,AT2G05230-AT2G052501-2+IR,371,24,386,24,both,0.00251386115106909
AT5G57565-AT5G57630,1-2,2-3,+IR,1,79,2,108,1,107,4,99,1,275,1,164,IR,AT5G57565,AT5G57630,AT5G57565-AT5G576301-2+IR,294,4,538,6,both,0.00245302581999342
AT5G28850-AT5G28900,2-3,2-3,+IR,13,196,6,216,6,394,13,229,7,235,9,416,IR,AT5G28850,AT5G28900,AT5G28850-AT5G289002-3+IR,806,25,880,29,both,0.0019371757274983
AT4G14710-AT4G14716,6-7,5-6,+IR,10,822,5,668,8,1178,1,445,6,418,3,622,IR,AT4G14710,AT4G14716,AT4G14710-AT4G147166-7+IR,2668,23,1485,10,both,0.00188668292116568
AT1G29350-AT1G29370,9-10,9-10,+IR,1,323,3,349,4,590,1,390,2,416,4,749,IR,AT1G29350,AT1G29370,AT1G29350-AT1G293709-10+IR,1262,8,1555,7,both,0.0018375364984891
AT2G40510-AT2G40590,3-4,3-4,+IR,5,1326,4,1039,4,2481,3,893,4,382,5,1429,IR,AT2G40510,AT2G40590,AT2G40510-AT2G405903-4+IR,4846,13,2704,12,both,0.00175524497725203
AT3G28290-AT3G28300,1-2,1-2,+IR,9,55,10,78,30,104,9,57,10,78,30,104,IR,AT3G28290,AT3G28300,AT3G28290-AT3G283001-2+IR,237,49,239,49,both,0.00173013435022862
AT4G14030-AT4G14040,6-7,5-6,+IR,12,757,19,857,55,1241,74,1921,34,1813,79,2844,IR,AT4G14030,AT4G14040,AT4G14030-AT4G140406-7+IR,2855,86,6578,187,both,0.00169449829847302
AT3G28710-AT3G28715,9-10,9-10,+IR,19,640,13,693,33,1049,13,600,7,644,39,1056,IR,AT3G28710,AT3G28715,AT3G28710-AT3G287159-10+IR,2382,65,2300,59,both,0.00163581936991202
AT1G55980-AT1G56000,8-9,2-3,+IR,20,272,7,300,15,563,20,267,6,296,14,567,IR,AT1G55980,AT1G56000,AT1G55980-AT1G560008-9+IR,1135,42,1130,40,both,0.00160617519784804
AT1G29390-AT1G29395,5-6,5-6,+IR,1,427,2,533,6,801,7,254,3,958,2,661,IR,AT1G29390,AT1G29395,AT1G29390-AT1G293955-6+IR,1761,9,1873,12,both,0.00129610141788947
AT1G29350-AT1G29370,1-2,1-2,+IR,5,388,4,476,4,828,5,287,4,388,3,664,IR,AT1G29350,AT1G29370,AT1G29350-AT1G293701-2+IR,1692,13,1339,12,both,0.00127869674450959
AT4G27820-AT4G27830,12-13,12-13,+IR,15,748,4,434,18,1134,8,458,3,297,8,521,IR,AT4G27820,AT4G27830,AT4G27820-AT4G2783012-13+IR,2316,37,1276,19,both,0.00108553824830401
AT4G14030-AT4G14040,4-5,3-4,+IR,1,1137,3,1391,19,1949,17,1820,3,1788,20,2849,IR,AT4G14030,AT4G14040,AT4G14030-AT4G140404-5+IR,4477,23,6457,40,both,0.00105745854545607
AT1G07470-AT1G07480,2-3,2-3,+IR,1,254,2,470,4,622,1,296,2,480,3,659,IR,AT1G07470,AT1G07480,AT1G07470-AT1G074802-3+IR,1346,7,1435,6,both,0.00101940968465087
AT1G17990-AT1G18020,3-4,3-4,+IR,16,270,68,405,66,379,15,264,66,401,66,375,IR,AT1G17990,AT1G18020,AT1G17990-AT1G180203-4+IR,1054,150,1040,147,both,0.000968836666180112
AT3G05160-AT3G05165,13-14,14-15,+IR,5,126,5,169,7,274,2,278,8,184,12,296,IR,AT3G05160,AT3G05165,AT3G05160-AT3G0516513-14+IR,569,17,758,22,both,0.000853230451052858
AT1G06640-AT1G06650,1-2,1-2,-ALTD,1,176,4,167,1,236,3,429,7,429,4,594,ALTD,AT1G06640,AT1G06650,AT1G06640-AT1G066501-2-ALTD,579,6,1452,14,both,0.00072082102228122
AT1G29390-AT1G29395,4-5,4-5,+IR,24,468,39,640,31,931,12,209,33,886,34,595,IR,AT1G29390,AT1G29395,AT1G29390-AT1G293954-5+IR,2039,94,1690,79,both,0.000644532213551714
AT1G58848-AT1G59218,4-5,4-5,+ALTA,3,508,4,559,7,704,3,405,3,430,6,569,ALTA,AT1G58848,AT1G59218,AT1G58848-AT1G592184-5+ALTA,1771,14,1404,12,both,0.0006418702070876
AT2G17190-AT2G17200,7-8,7-8,+IR,4,362,5,328,6,591,7,387,4,416,5,633,IR,AT2G17190,AT2G17200,AT2G17190-AT2G172007-8+IR,1281,15,1436,16,both,0.000567540592199253
