pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT1G05200-AT2G32390,2-3,1-2,-ALTA,3,154,1,89,9,226,6,42,4,38,12,86,ALTA,AT1G05200,AT2G32390,AT1G05200-AT2G323902-3-ALTA,469,13,166,22,both,0.104811570375318
AT3G26960-AT5G41050,1-2,1-2,+IR,8,169,2,121,3,263,46,351,20,355,106,636,IR,AT3G26960,AT5G41050,AT3G26960-AT5G410501-2+IR,553,13,1342,172,both,0.104658777619973
AT3G47600-AT5G62470,2-3,2-3,+IR,10,59,8,84,19,118,14,281,10,507,33,687,IR,AT3G47600,AT5G62470,AT3G47600-AT5G624702-3+IR,261,37,1475,57,both,0.10311838431067
AT4G19660-AT5G45110,1-2,1-2,+IR,14,133,19,192,39,246,1,72,3,186,6,163,IR,AT4G19660,AT5G45110,AT4G19660-AT5G451101-2+IR,571,72,421,10,both,0.102341601807056
AT2G40010-AT3G11250,1-2,1-2,+IR,15,134,7,75,26,219,1,326,1,182,9,591,IR,AT2G40010,AT3G11250,AT2G40010-AT3G112501-2+IR,428,48,1099,11,both,0.102140433529207
AT2G14520-AT4G33700,9-10,9-10,+IR,12,33,2,34,4,77,7,110,1,95,1,185,IR,AT2G14520,AT4G33700,AT2G14520-AT4G337009-10+IR,144,18,390,9,both,0.101923076923077
AT2G46380-AT3G61670,4-5,5-6,+IR,4,18,1,11,8,45,7,110,5,86,16,183,IR,AT2G46380,AT3G61670,AT2G46380-AT3G616704-5+IR,74,13,379,28,both,0.101797047707338
AT3G22810-AT4G14740,3-4,3-4,+IR,7,66,1,19,13,86,7,295,9,415,16,800,IR,AT3G22810,AT4G14740,AT3G22810-AT4G147403-4+IR,171,21,1510,32,both,0.101614964563727
AT1G49580-AT3G19100,6-7,5-6,+IR,10,83,3,79,8,153,8,38,8,49,12,80,IR,AT1G49580,AT3G19100,AT1G49580-AT3G191006-7+IR,315,21,167,28,both,0.100998003992016
AT2G14520-AT4G33700,8-9,8-9,+IR,2,30,1,39,4,64,16,97,9,84,22,128,IR,AT2G14520,AT4G33700,AT2G14520-AT4G337008-9+IR,133,7,309,47,both,0.0994719809231817
AT3G44280-AT5G22280,2-3,2-3,+IR,23,155,29,169,30,326,59,233,36,188,86,382,IR,AT3G44280,AT5G22280,AT3G44280-AT5G222802-3+IR,650,82,803,181,both,0.0992508861002012
AT1G06130-AT2G31350,1-2,1-2,-ALTA,4,184,6,176,11,261,19,103,17,168,30,226,ALTA,AT1G06130,AT2G31350,AT1G06130-AT2G313501-2-ALTA,621,21,497,66,both,0.0989803555633317
AT1G06770-AT2G30580,1-2,1-2,+IR,13,61,9,80,28,108,8,42,2,38,5,65,IR,AT1G06770,AT2G30580,AT1G06770-AT2G305801-2+IR,249,50,145,15,both,0.0973549369893367
AT1G03960-AT5G44090,3-4,3-4,+IR,1,34,3,37,14,74,2,102,2,86,5,132,IR,AT1G03960,AT5G44090,AT1G03960-AT5G440903-4+IR,145,18,320,9,both,0.0960129310344828
AT1G19700-AT1G75410,4-5,4-5,+IR,6,278,2,299,7,425,32,434,41,427,85,578,IR,AT1G19700,AT1G75410,AT1G19700-AT1G754104-5+IR,1002,15,1439,158,both,0.0948284112802886
AT2G22190-AT4G39770,5-6,5-6,+IR,55,302,10,168,51,473,6,300,9,265,15,433,IR,AT2G22190,AT4G39770,AT2G22190-AT4G397705-6+IR,943,116,998,30,both,0.0929515446587767
AT1G23030-AT1G71020,1-2,1-2,+IR,17,112,28,149,13,189,3,169,2,202,24,423,IR,AT1G23030,AT1G71020,AT1G23030-AT1G710201-2+IR,450,58,794,29,both,0.0923649594178561
AT3G09940-AT5G03630,6-7,6-7,+IR,2,17,2,11,1,7,17,286,13,366,31,540,IR,AT3G09940,AT5G03630,AT3G09940-AT5G036306-7+IR,35,5,1192,61,both,0.0916826462128476
AT1G10900-AT1G60890,5-6,5-6,+IR,26,700,34,442,62,900,5,15,1,26,7,45,IR,AT1G10900,AT1G60890,AT1G10900-AT1G608905-6+IR,2042,122,86,13,both,0.0914174429993394
AT3G02830-AT5G16540,4-5,4-5,+IR,24,857,2,583,15,1208,36,355,29,316,66,567,IR,AT3G02830,AT5G16540,AT3G02830-AT5G165404-5+IR,2648,41,1238,131,both,0.0903324483012753
AT3G10640-AT5G04850,1-2,1-2,+IR,7,126,22,203,40,246,6,162,6,226,12,415,IR,AT3G10640,AT5G04850,AT3G10640-AT5G048501-2+IR,575,69,803,24,both,0.0901120797011208
AT5G09220-AT5G63850,6-7,6-7,+IR,1,588,1,664,4,598,41,397,20,319,46,434,IR,AT5G09220,AT5G63850,AT5G09220-AT5G638506-7+IR,1850,6,1150,107,both,0.0898002350176263
