pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT1G34470-AT4G09640,1-2,1-2,+IR,2,130,1,80,2,160,2,72,3,83,3,116,IR,AT1G34470,AT4G09640,AT1G34470-AT4G096401-2+IR,370,5,271,8,both,0.0160067816894385
AT1G07420-AT2G29390,3-4,3-4,+IR,20,184,19,202,32,333,18,167,23,197,40,342,IR,AT1G07420,AT2G29390,AT1G07420-AT2G293903-4+IR,719,71,706,81,both,0.015982616712699
AT2G39880-AT3G55730,1-2,1-2,+IR,1,18,4,22,4,39,3,34,2,19,5,49,IR,AT2G39880,AT3G55730,AT2G39880-AT3G557301-2+IR,79,9,102,10,both,0.0158848349466369
AT3G46110-AT5G59790,1-2,1-2,+IR,5,10,7,34,7,36,15,34,7,23,2,38,IR,AT3G46110,AT5G59790,AT3G46110-AT5G597901-2+IR,80,19,95,24,both,0.0151315789473684
AT1G07510-AT2G29080,6-7,6-7,+IR,7,180,7,121,6,213,9,448,10,336,18,760,IR,AT1G07510,AT2G29080,AT1G07510-AT2G290806-7+IR,514,20,1544,37,both,0.0149467752666277
AT4G26480-AT5G56140,2-3,2-3,+IR,19,276,10,186,14,408,23,255,16,294,26,463,IR,AT4G26480,AT5G56140,AT4G26480-AT5G561402-3+IR,870,43,1012,65,both,0.0148039616555359
AT1G29050-AT2G34070,3-4,3-4,+IR,2,40,1,41,6,69,4,106,1,98,11,148,IR,AT1G29050,AT2G34070,AT1G29050-AT2G340703-4+IR,150,9,352,16,both,0.0145454545454545
AT1G34020-AT4G09810,3-4,3-4,+IR,1,119,2,61,9,160,1,68,3,27,4,66,IR,AT1G34020,AT4G09810,AT1G34020-AT4G098103-4+IR,340,12,161,8,both,0.01439532334673
AT1G01740-AT4G00710,8-9,9-10,+IR,1,77,2,58,3,86,5,285,9,228,25,428,IR,AT1G01740,AT4G00710,AT1G01740-AT4G007108-9+IR,221,6,941,39,both,0.014295949721342
AT5G07290-AT5G61960,4-5,4-5,+IR,14,122,17,112,17,177,21,259,23,150,30,313,IR,AT5G07290,AT5G61960,AT5G07290-AT5G619604-5+IR,411,48,722,74,both,0.0142952463756394
AT2G21120-AT4G38730,6-7,6-7,+IR,8,252,4,234,14,373,1,95,1,95,3,121,IR,AT2G21120,AT4G38730,AT2G21120-AT4G387306-7+IR,859,26,311,5,both,0.0141905827833905
AT4G05330-AT4G21160,8-9,8-9,+IR,4,85,1,139,8,176,9,172,13,277,16,365,IR,AT4G05330,AT4G21160,AT4G05330-AT4G211608-9+IR,400,13,814,38,both,0.0141830466830467
AT2G17640-AT4G35640,6-7,6-7,+IR,20,209,11,136,24,213,2,16,3,17,3,38,IR,AT2G17640,AT4G35640,AT2G17640-AT4G356406-7+IR,558,55,71,8,both,0.0141097480943006
AT1G53290-AT3G14960,4-5,4-5,+IR,12,98,9,98,8,190,4,84,10,84,13,136,IR,AT1G53290,AT3G14960,AT1G53290-AT3G149604-5+IR,386,29,304,27,both,0.0136862557949277
AT3G27390-AT5G40640,6-7,8-9,+IR,7,211,3,138,11,298,1,38,1,39,1,77,IR,AT3G27390,AT5G40640,AT3G27390-AT5G406406-7+IR,647,21,154,3,both,0.0129769766554929
AT3G09770-AT5G03200,1-2,1-2,+IR,15,208,28,257,39,272,5,24,9,58,3,55,IR,AT3G09770,AT5G03200,AT3G09770-AT5G032001-2+IR,737,82,137,17,both,0.0128257187849736
AT3G01690-AT5G14390,1-2,1-2,+IR,75,833,102,942,174,1358,14,175,15,176,29,233,IR,AT3G01690,AT5G14390,AT3G01690-AT5G143901-2+IR,3133,351,584,58,both,0.0127181265275962
